"ENGLISH","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",22%,152,19%,22,30%,14,19%,12,17%,17,33%,25,13%,4,19%,23,7%,3,30%,32
"Ready",34%,242,34%,38,28%,13,39%,25,30%,31,27%,20,44%,14,36%,43,48%,21,34%,36
"Close",32%,223,31%,35,36%,17,36%,23,33%,34,31%,23,25%,8,37%,45,30%,13,24%,25
"Need Support",13%,89,16%,18,6%,3,6%,4,20%,1,9%,7,19%,6,8%,10,16%,7,12%,13
"Number Tested",,706,,113,,47,,64,,103,,75,,32,,121,,44,,106
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"MATH","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",2%,14,1%,1,8%,4,2%,1,0%,0,4%,3,0%,0,1%,1,0%,0,4%,4
"Ready",21%,149,19%,22,21%,10,23%,15,17%,18,25%,19,13%,4,23%,28,14%,6,25%,27
"Close",55%,392,56%,64,63%,30,66%,42,60%,62,44%,33,59%,19,53%,64,55%,24,51%,54
"Need Support",21%,152,24%,28,8%,4,9%,6,22%,23,27%,20,28%,9,23%,27,32%,14,20%,21
"Number Tested",,707,,115,,48,,64,,103,,75,,32,,120,,44,,106
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"READING","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",7%,47,7%,8,15%,1,2%,1,2%,2,17%,13,0%,0,5%,6,0%,0,9%,10
"Ready",20%,142,15%,17,23%,11,20%,13,14%,14,27%,20,13%,4,26%,31,13%,6,25%,26
"Close",29%,204,30%,34,17%,8,39%,25,19%,20,17%,13,34%,11,37%,44,38%,17,30%,32
"Need Support",44%,315,49%,56,46%,22,39%,25,65%,67,39%,29,53%,17,33%,39,49%,22,36%,38
"Number Tested",,708,,115,,48,,64,,103,,75,,32,,120,,45,,106
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"SCIENCE","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",5%,37,5%,6,6%,3,3%,2,0%,0,11%,8,3%,1,4%,5,2%,1,10%,11
"Ready",15%,106,8%,9,23%,11,8%,5,10%,10,19%,14,19%,6,19%,23,7%,3,24%,25
"Close",23%,166,24%,28,21%,10,28%,18,22%,23,23%,17,19%,6,27%,32,13%,6,25%,26
"Need Support",56%,400,63%,72,50%,24,61%,39,68%,71,48%,36,59%,19,50%,60,78%,35,42%,44
"Number Tested",,709,,115,,48,,64,,104,,75,,32,,120,,45,,106
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"WRITING","PSS Overall",,"Garapan Elem.",,"GTC Elementary",,"Kagman Elem.",,"Koblerville Elem.",,"Oleai Elem.",,"Sinapalo Elem.",,"San Vicente Elem.",,"Tinian Elem.",,"WSR Elementary",
,"Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number","Percent","Number"
"Exceeding",1%,4,2%,2,0%,0,0%,0,0%,0,1%,1,0%,0,0%,0,0%,0,1%,1
"Ready",8%,120,10%,11,15%,7,10%,6,17%,17,25%,18,19%,6,14%,17,9%,4,33%,34
"Close",45%,308,40%,42,37%,17,56%,35,45%,45,50%,36,53%,17,40%,48,49%,21,45%,47
"Need Support",37%,252,48%,51,48%,22,35%,22,37%,37,24%,17,28%,9,45%,54,42%,18,21%,22
"Number Tested",,684,,106,,46,,63,,99,,72,,32,,119,,43,,104
